match_id,season,team,player,overs,runs_conceded,wickets
1,2018,Sunrisers Hyderabad,Pat Cummins,3.0,17,2
1,2018,Sunrisers Hyderabad,Bhuvneshwar Kumar,2.0,14,3
1,2018,Sunrisers Hyderabad,Nitish Kumar Reddy,4.0,43,2
1,2018,Sunrisers Hyderabad,T Natarajan,1.6,7,1
1,2018,Sunrisers Hyderabad,Aman Pillai,2.1,16,1
1,2018,Sunrisers Hyderabad,Karthik Kulkarni,3.0,29,0
1,2018,Gujarat Titans,Rashid Khan,3.6,19,0
1,2018,Gujarat Titans,Mohammed Shami,4.0,40,0
1,2018,Gujarat Titans,Rahul Tewatia,2.1,24,2
1,2018,Gujarat Titans,Gerald Coetzee,3.0,37,1
1,2018,Gujarat Titans,Rahul Desai,2.0,17,2
1,2018,Gujarat Titans,Rahul Mishra,2.0,13,0
2,2018,Delhi Capitals,Axar Patel,2.0,9,0
2,2018,Delhi Capitals,Kuldeep Yadav,4.0,19,0
2,2018,Delhi Capitals,Mitchell Marsh,4.0,29,1
2,2018,Delhi Capitals,Ishant Sharma,3.0,29,2
2,2018,Delhi Capitals,Rahul Sinha,4.0,32,0
2,2018,Delhi Capitals,Siddharth Iyer,1.8,12,0
2,2018,Sunrisers Hyderabad,Pat Cummins,3.0,20,0
2,2018,Sunrisers Hyderabad,Bhuvneshwar Kumar,2.0,10,0
2,2018,Sunrisers Hyderabad,Nitish Kumar Reddy,2.0,11,0
2,2018,Sunrisers Hyderabad,T Natarajan,2.0,14,1
2,2018,Sunrisers Hyderabad,Aman Pillai,3.0,17,2
2,2018,Sunrisers Hyderabad,Karthik Kulkarni,2.0,16,0
3,2018,Mumbai Indians,Jasprit Bumrah,2.0,11,0
3,2018,Mumbai Indians,Hardik Pandya,3.0,25,4
3,2018,Mumbai Indians,Piyush Chawla,2.5,24,1
3,2018,Mumbai Indians,Aman Verma,2.0,17,0
3,2018,Mumbai Indians,Dev Rao,3.0,18,1
3,2018,Mumbai Indians,Aryan Pillai,4.0,21,0
3,2018,Royal Challengers Bengaluru,Glenn Maxwell,2.0,15,0
3,2018,Royal Challengers Bengaluru,Mohammed Siraj,1.4,9,0
3,2018,Royal Challengers Bengaluru,Cameron Green,4.0,35,0
3,2018,Royal Challengers Bengaluru,Yash Dayal,2.0,11,1
3,2018,Royal Challengers Bengaluru,Arjun Suresh,2.0,12,2
3,2018,Royal Challengers Bengaluru,Vikram Bose,2.0,9,2
4,2018,Rajasthan Royals,Riyan Parag,3.0,28,3
4,2018,Rajasthan Royals,Yuzvendra Chahal,4.0,23,3
4,2018,Rajasthan Royals,Trent Boult,4.0,28,0
4,2018,Rajasthan Royals,Gaurav Dubey,3.0,23,0
4,2018,Rajasthan Royals,Ajay Dubey,2.0,18,1
4,2018,Rajasthan Royals,Karan Joshi,4.0,35,1
4,2018,Lucknow Super Giants,Mayank Yadav,3.8,25,0
4,2018,Lucknow Super Giants,Ravi Bishnoi,3.0,28,0
4,2018,Lucknow Super Giants,Marcus Stoinis,3.0,21,0
4,2018,Lucknow Super Giants,Mohsin Khan,3.0,30,0
4,2018,Lucknow Super Giants,Nikhil Ghosh,4.0,38,1
4,2018,Lucknow Super Giants,Nikhil Reddy,3.0,24,2
5,2018,Mumbai Indians,Jasprit Bumrah,4.0,18,0
5,2018,Mumbai Indians,Hardik Pandya,2.0,17,3
5,2018,Mumbai Indians,Piyush Chawla,4.0,34,2
5,2018,Mumbai Indians,Aman Verma,3.5,15,0
5,2018,Mumbai Indians,Dev Rao,4.0,37,0
5,2018,Mumbai Indians,Aryan Pillai,3.9,35,0
5,2018,Kolkata Knight Riders,Andre Russell,4.0,20,0
5,2018,Kolkata Knight Riders,Sunil Narine,3.0,19,1
5,2018,Kolkata Knight Riders,Varun Chakravarthy,2.0,19,0
5,2018,Kolkata Knight Riders,Venkatesh Iyer,4.0,19,3
5,2018,Kolkata Knight Riders,Mitchell Starc,3.0,23,3
5,2018,Kolkata Knight Riders,Pranav Chauhan,3.0,19,0
6,2018,Chennai Super Kings,Ravindra Jadeja,2.0,15,0
6,2018,Chennai Super Kings,Deepak Chahar,2.0,13,0
6,2018,Chennai Super Kings,Shivam Dube,3.0,27,0
6,2018,Chennai Super Kings,Matheesha Pathirana,2.0,9,1
6,2018,Chennai Super Kings,Moeen Ali,2.5,19,2
6,2018,Chennai Super Kings,Sanjay Chauhan,2.8,18,2
6,2018,Rajasthan Royals,Riyan Parag,3.0,31,0
6,2018,Rajasthan Royals,Yuzvendra Chahal,3.0,24,0
6,2018,Rajasthan Royals,Trent Boult,4.0,19,0
6,2018,Rajasthan Royals,Gaurav Dubey,3.0,24,2
6,2018,Rajasthan Royals,Ajay Dubey,3.6,23,0
6,2018,Rajasthan Royals,Karan Joshi,4.0,37,2
7,2018,Punjab Kings,Arshdeep Singh,3.0,21,0
7,2018,Punjab Kings,Liam Livingstone,4.0,28,2
7,2018,Punjab Kings,Sam Curran,3.0,27,1
7,2018,Punjab Kings,Kagiso Rabada,4.0,30,3
7,2018,Punjab Kings,Ajay Verma,2.0,14,3
7,2018,Punjab Kings,Dev Krishnan,3.0,30,4
7,2018,Gujarat Titans,Rashid Khan,3.0,21,2
7,2018,Gujarat Titans,Mohammed Shami,3.0,20,3
7,2018,Gujarat Titans,Rahul Tewatia,1.9,14,0
7,2018,Gujarat Titans,Gerald Coetzee,4.0,30,2
7,2018,Gujarat Titans,Rahul Desai,3.0,15,1
7,2018,Gujarat Titans,Rahul Mishra,2.0,11,0
8,2018,Kolkata Knight Riders,Andre Russell,3.0,28,0
8,2018,Kolkata Knight Riders,Sunil Narine,2.4,21,0
8,2018,Kolkata Knight Riders,Varun Chakravarthy,4.0,27,0
8,2018,Kolkata Knight Riders,Venkatesh Iyer,3.0,23,1
8,2018,Kolkata Knight Riders,Mitchell Starc,4.0,23,0
8,2018,Kolkata Knight Riders,Pranav Chauhan,2.0,12,0
8,2018,Lucknow Super Giants,Mayank Yadav,2.0,9,2
8,2018,Lucknow Super Giants,Ravi Bishnoi,2.0,17,4
8,2018,Lucknow Super Giants,Marcus Stoinis,4.0,35,0
8,2018,Lucknow Super Giants,Mohsin Khan,3.0,24,4
8,2018,Lucknow Super Giants,Nikhil Ghosh,3.0,23,2
8,2018,Lucknow Super Giants,Nikhil Reddy,1.6,15,2
9,2018,Royal Challengers Bengaluru,Glenn Maxwell,3.0,21,1
9,2018,Royal Challengers Bengaluru,Mohammed Siraj,2.0,16,0
9,2018,Royal Challengers Bengaluru,Cameron Green,3.0,31,0
9,2018,Royal Challengers Bengaluru,Yash Dayal,2.1,10,0
9,2018,Royal Challengers Bengaluru,Arjun Suresh,4.0,18,0
9,2018,Royal Challengers Bengaluru,Vikram Bose,3.0,18,0
9,2018,Gujarat Titans,Rashid Khan,4.0,21,0
9,2018,Gujarat Titans,Mohammed Shami,4.0,29,0
9,2018,Gujarat Titans,Rahul Tewatia,4.0,34,2
9,2018,Gujarat Titans,Gerald Coetzee,4.0,25,0
9,2018,Gujarat Titans,Rahul Desai,2.5,16,0
9,2018,Gujarat Titans,Rahul Mishra,4.0,31,0
10,2018,Chennai Super Kings,Ravindra Jadeja,2.0,17,0
10,2018,Chennai Super Kings,Deepak Chahar,4.0,34,0
10,2018,Chennai Super Kings,Shivam Dube,1.8,13,0
10,2018,Chennai Super Kings,Matheesha Pathirana,2.0,12,0
10,2018,Chennai Super Kings,Moeen Ali,2.0,16,0
10,2018,Chennai Super Kings,Sanjay Chauhan,2.0,10,0
10,2018,Delhi Capitals,Axar Patel,2.0,17,4
10,2018,Delhi Capitals,Kuldeep Yadav,2.5,15,0
10,2018,Delhi Capitals,Mitchell Marsh,2.0,17,2
