match_id,season,venue,team1,team2,toss_winner,toss_decision,winner
1,2018,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,Sunrisers Hyderabad
2,2018,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
3,2018,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru
4,2018,"M. A. Chidambaram Stadium, Chennai",Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,Rajasthan Royals
5,2018,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
6,2018,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings
7,2018,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,Gujarat Titans,Punjab Kings,field,Punjab Kings
8,2018,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,bat,Kolkata Knight Riders
9,2018,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Gujarat Titans,Royal Challengers Bengaluru,field,Gujarat Titans
10,2018,"Eden Gardens, Kolkata",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings
11,2018,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad
12,2018,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Chennai Super Kings
13,2018,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals
14,2018,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,bat,Gujarat Titans
15,2018,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals
16,2018,"Wankhede Stadium, Mumbai",Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans
17,2018,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders
18,2018,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Lucknow Super Giants,Delhi Capitals,bat,Delhi Capitals
19,2018,"Eden Gardens, Kolkata",Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,Gujarat Titans
